platform,track_name,album_artist_name,album_name,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,year,month,day,s_played
Android,THE BADDEST,K/DA,ALL OUT,trackdone,trackdone,True,0.0,True,1657379656956,2022,7,9,162.6
Windows,Gangsta's Paradise,Coolio,Gangsta's Paradise,trackdone,trackdone,True,0.0,False,1658690809850,2022,7,24,240.693
Otros,Aire soy (feat. Ximena Sariñana),Miguel Bosé,Papitwo,trackdone,trackdone,False,0.0,False,0,2022,9,18,248.049
Android,Crush,Tessa Violet,Crush,trackdone,trackdone,True,0.0,False,1647396893585,2022,3,16,216.266
Android,Grandes Ligas,Lupillo Rivera,Grandes Ligas,trackdone,trackdone,True,0.0,False,1660621037323,2022,8,16,240.0
Android,La Locura Está en Mí - Streaming Remaster,Santaflow,Ave Fénix,fwdbtn,fwdbtn,True,1.0,False,1671669717,2022,12,22,1.55
Android,Don't Worry Bout Me,Zara Larsson,Don't Worry Bout Me,fwdbtn,logout,False,0.0,False,1647519899391,2022,3,18,6.809
Android,Toma Dos Tazas (Cuphead Rap),Keyblade,Toma Dos Tazas (Cuphead Rap),fwdbtn,fwdbtn,True,1.0,False,1675010597,2023,1,29,1.613
Android,No Sé en Qué Te Fallé,Santa RM,Mala Ortografía,fwdbtn,fwdbtn,True,0.0,False,1653140703783,2022,5,21,1.026
Windows,Trastorno Bipolar (Con Christian),Porta,Trastorno Bipolar,trackdone,trackdone,True,0.0,False,0,2022,10,29,343.196
Windows,Haze,Tessa Violet,Halloway,trackdone,trackdone,True,0.0,False,1650210316345,2022,4,17,226.44
Windows,Mal Acostumbrados,Porta,Algo Ha Cambiado,fwdbtn,fwdbtn,True,1.0,False,1674858620,2023,1,27,0.82
Android,Amor,Porta,Equilibrio,trackdone,trackdone,True,0.0,True,1657224017469,2022,7,7,261.333
Android,Tetris Rap 1.5,Porta,Equilibrio,fwdbtn,trackdone,True,0.0,True,1678112589,2023,3,6,96.273
Android,Bruce Wayne,Porta,Equilibrio,fwdbtn,fwdbtn,True,0.0,False,1657369304504,2022,7,9,0.023
Android,"She's Not Me, Pt. 1 & 2",Zara Larsson,Uncover,appload,fwdbtn,True,0.0,False,1662293426559,2022,9,4,0.0
Windows,In Your Eyes - Radio Edit,INNA,In Your Eyes,fwdbtn,trackdone,False,0.0,False,1674416533,2023,1,22,197.336
Android,THE BADDEST,K/DA,THE BADDEST,trackdone,trackdone,True,0.0,False,1638794207544,2021,12,6,162.6
Android,El Fin Del Mundo,Porta,En Boca De Tantos,trackdone,trackdone,True,0.0,True,1649673625310,2022,4,11,200.4
